present_state,next_state_0,next_state_1
S283,S214/0,S123/0
S297,S148/0,S300/0
S319,S319/0,S54/0
S148,S119/0,S176/0
S34,S297/0,S54/0
S240,S297/0,S167/0
S194,S176/0,S148/0
S119,S141/0,S148/0
S106,S54/0,S283/0
S300,S167/0,S319/0
S214,S297/0,S297/0
S226,S297/0,S148/0
S69,S69/0,S104/0
S54,S205/0,S205/0
S228,S205/0,S141/0
S199,S240/0,S34/0
S303,S69/0,S34/0
S167,S148/0,S319/0
S141,S297/0,S300/0
S104,S148/0,S226/0
S123,S226/0,S283/0
S205,S205/0,S106/0
S176,S167/0,S283/0
S256,S167/0,S176/0
S17,S253/0,S256/1
S72,S222/0,S167/1
S173,S137/0,S226/1
S9,S285/0,S256/1
S151,S93/0,S226/1
S181,S239/0,S123/1
S170,S137/0,S148/1
S156,S93/0,S214/1
S42,S93/0,S106/1
S260,S222/0,S228/1
S46,S285/0,S283/1
S14,S201/0,S106/1
S179,S317/0,S297/1
S29,S135/0,S123/1
S53,S317/0,S176/1
S264,S155/0,S119/1
S60,S43/0,S69/1
S103,S149/0,S199/1
S147,S187/0,S256/1
S259,S4/0,S54/1
S238,S137/0,S240/1
S37,S253/0,S123/1
S286,S187/0,S199/1
S81,S88/0,S141/1
S142,S137/0,S194/1
S78,S47/0,S226/1
S122,S232/0,S176/1
S275,S317/0,S226/1
S276,S285/0,S214/1
S15,S201/0,S283/1
S90,S114/0,S194/1
S131,S149/0,S214/1
S55,S114/0,S104/1
S74,S155/0,S194/1
S163,S4/0,S123/1
S258,S222/0,S106/1
S144,S201/0,S54/1
S291,S47/0,S256/1
S157,S149/0,S303/1
S284,S239/0,S228/1
S135,S260/1,S300/0
S273,S163/1,S283/0
S232,S42/1,S167/0
S239,S72/1,S228/0
S47,S72/1,S141/0
S28,S122/1,S199/0
S210,S264/1,S167/0
S187,S29/1,S199/0
S107,S90/1,S69/0
S213,S260/1,S34/0
S253,S90/1,S148/0
S93,S9/1,S297/0
S88,S260/1,S319/0
S317,S258/1,S297/0
S149,S173/1,S256/0
S222,S55/1,S148/0
S155,S173/1,S54/0
S43,S163/1,S240/0
S285,S46/1,S214/0
S307,S78/1,S283/0
S201,S286/1,S176/0
S137,S147/1,S319/0
S114,S151/1,S297/0
S4,S9/1,S297/0
S287,S319/1,S239/1
S75,S104/1,S107/1
S102,S319/1,S201/1
S59,S54/1,S107/1
S299,S54/1,S43/1
S211,S69/1,S114/1
S2,S199/1,S4/1
S301,S194/1,S213/1
S195,S194/1,S213/1
S92,S226/1,S47/1
S32,S303/1,S47/1
S215,S205/1,S317/1
S241,S199/1,S187/1
S234,S228/1,S213/1
S162,S300/1,S155/1
S35,S194/1,S135/1
S83,S256/1,S210/1
S224,S214/1,S88/1
S100,S283/1,S4/1
S274,S54/1,S28/1
S126,S69/1,S149/1
S86,S148/1,S307/1
S296,S104/1,S93/1
S209,S226/1,S222/1
S306,S297/1,S43/1
S269,S119/1,S114/1
S110,S283/1,S273/1
S65,S199/1,S155/1
S133,S194/1,S88/1
S270,S283/1,S222/1
S165,S214/1,S317/1
S230,S69/1,S28/1
S40,S167/1,S114/1
S304,S167/1,S135/1
S96,S228/1,S43/1
S11,S319/1,S273/1
S183,S141/1,S222/1
S278,S194/1,S93/1
S143,S297/1,S201/1
S218,S228/1,S213/1
S45,S119/1,S114/1
S153,S319/1,S149/1
S71,S34/1,S307/1
S44,S228/1,S28/1
S132,S214/1,S114/1
S23,S300/1,S43/1
S295,S194/1,S253/1
S220,S319/1,S213/1
S208,S148/1,S28/1
S136,S297/1,S273/1
S266,S84/1,S279/0
S254,S21/1,S316/1
S184,S310/0,S64/0
S250,S99/0,S10/1
S206,S262/1,S288/0
S26,S298/1,S314/0
S192,S5/0,S191/1
S13,S298/0,S109/0
S279,S311/1,S94/0
S146,S216/1,S191/1
S302,S1/1,S67/0
S19,S41/1,S236/0
S64,S57/1,S282/0
S150,S164/1,S25/1
S191,S197/0,S180/1
S128,S164/0,S67/0
S227,S1/0,S152/1
S305,S63/0,S112/1
S61,S313/1,S112/0
S180,S58/1,S67/1
S174,S98/0,S282/0
S171,S70/0,S261/0
S248,S308/0,S298/1
S52,S79/1,S128/1
S87,S193/0,S290/0
S24,S192/1,S175/1
S188,S117/0,S115/1
S160,S152/1,S5/0
S281,S169/0,S193/1
S79,S200/1,S120/1
S118,S255/1,S19/0
S145,S182/0,S63/1
S50,S1/1,S245/0
S111,S293/1,S225/1
S89,S87/1,S247/0
S36,S223/1,S196/1
S193,S243/1,S225/1
S6,S1/1,S51/0
S216,S31/1,S182/0
S177,S247/1,S63/0
S263,S24/1,S152/0
S101,S182/1,S237/0
S84,S139/1,S172/0
S255,S212/0,S312/1
S243,S293/0,S166/0
S267,S168/1,S216/1
S138,S237/0,S124/1
S130,S254/1,S168/0
S290,S313/0,S267/1
S268,S188/0,S266/0
S189,S134/1,S146/1
S116,S38/1,S203/0
S169,S217/0,S56/1
S313,S160/0,S290/1
S108,S267/1,S251/0
S288,S121/1,S290/0
S219,S58/0,S308/1
S310,S293/0,S48/1
S231,S27/0,S310/0
S237,S154/0,S24/1
S217,S200/0,S49/1
S25,S140/1,S294/0
S49,S25/0,S50/1
S12,S3/0,S223/1
S66,S250/1,S18/1
S67,S80/0,S5/0
S112,S48/1,S146/0
S166,S117/0,S134/1
S298,S39/1,S63/1
S48,S298/1,S50/1
S198,S113/0,S180/1
S91,S36/0,S186/0
S262,S216/0,S6/0
S56,S26/0,S229/1
S312,S161/1,S134/0
S76,S158/0,S294/1
S63,S154/1,S316/1
S225,S38/1,S161/0
S98,S251/0,S128/1
S33,S169/1,S10/0
S85,S191/0,S316/0
S27,S160/0,S185/1
S125,S261/1,S160/1
S257,S290/1,S204/1
S252,S249/0,S316/1
S22,S217/0,S154/1
S197,S61/0,S109/0
S229,S48/1,S244/0
S244,S113/0,S223/0
S172,S172/0,S49/0
S261,S314/0,S27/1
S159,S16/0,S190/1
S289,S310/1,S189/0
S292,S193/0,S254/1
S235,S27/0,S146/1
S309,S302/1,S231/0
S18,S125/0,S212/0
S58,S0/0,S310/1
S233,S247/1,S113/1
S280,S217/1,S185/0
S186,S204/0,S48/0
S5,S244/0,S115/1
S3,S310/1,S160/0
S94,S172/1,S204/1
S16,S68/0,S262/1
S73,S271/1,S95/1
S7,S289/0,S174/1
S164,S265/1,S41/1
S161,S150/0,S159/0
S134,S79/1,S161/1
S20,S243/1,S161/0
S185,S121/0,S159/1
S311,S82/0,S169/0
S113,S68/1,S18/1
S265,S192/0,S229/0
S182,S97/1,S62/1
S158,S249/0,S139/0
S95,S305/1,S190/1
S39,S308/0,S289/1
S57,S161/1,S168/0
S80,S313/0,S129/1
S212,S158/0,S180/1
S320,S50/0,S21/0
S249,S48/0,S249/1
S242,S108/1,S193/1
S308,S268/1,S175/1
S105,S146/1,S193/0
S8,S7/0,S282/0
S272,S51/0,S312/0
S247,S302/1,S91/1
S245,S20/1,S50/1
S117,S182/0,S254/1
S10,S13/1,S203/1
S99,S277/1,S24/1
S314,S262/1,S164/1
S30,S314/0,S311/0
S196,S117/1,S266/0
S121,S82/1,S233/1
S70,S26/1,S261/1
S82,S293/0,S198/0
S109,S267/1,S302/1
S21,S30/0,S246/0
S152,S18/0,S105/1
S236,S51/0,S89/0
S316,S121/1,S267/0
S204,S320/1,S197/0
S294,S221/1,S41/1
S68,S145/1,S219/0
S115,S120/0,S13/1
S1,S313/1,S277/1
S168,S36/0,S175/0
S0,S39/0,S113/0
S120,S251/1,S221/1
S129,S113/1,S68/1
S318,S52/0,S182/0
S41,S257/0,S249/1
S140,S219/1,S113/1
S251,S24/0,S76/1
S203,S310/1,S245/1
S277,S231/1,S280/1
S282,S49/0,S140/0
S200,S191/0,S26/1
S175,S216/1,S177/1
S190,S292/0,S31/1
S97,S18/0,S98/0
S127,S130/1,S177/0
S293,S212/1,S124/0
S154,S225/1,S51/0
S178,S172/0,S200/0
S77,S25/1,S223/1
S139,S311/1,S82/0
S51,S36/0,S146/1
S271,S113/0,S250/0
S62,S63/0,S223/1
S246,S305/1,S171/0
S223,S204/0,S206/0
S202,S236/0,S315/1
S221,S281/0,S309/1
S124,S255/0,S311/1
S207,S159/0,S191/0
S31,S159/1,S164/0
S315,S41/1,S129/1
S38,S180/1,S189/0
